Date,Open,High,Low,Close,Adj Close,Volume
9/17/2014,465.86,468.17,452.42,457.33,457.33,21056800
9/18/2014,456.86,456.86,413.1,424.44,424.44,34483200
9/19/2014,424.1,427.83,384.53,394.8,394.8,37919700
9/20/2014,394.67,423.3,389.88,408.9,408.9,36863600
9/21/2014,408.08,412.43,393.18,398.82,398.82,26580100
9/22/2014,399.1,406.92,397.13,402.15,402.15,24127600
9/23/2014,402.09,441.56,396.2,435.79,435.79,45099500
9/24/2014,435.75,436.11,421.13,423.2,423.2,30627700
9/25/2014,423.16,423.52,409.47,411.57,411.57,26814400
9/26/2014,411.43,414.94,400.01,404.42,404.42,21460800
9/27/2014,403.56,406.62,397.37,399.52,399.52,15029300
9/28/2014,399.47,401.02,374.33,377.18,377.18,23613300
9/29/2014,376.93,385.21,372.24,375.47,375.47,32497700
9/30/2014,376.09,390.98,373.44,386.94,386.94,34707300
10/1/2014,387.43,391.38,380.78,383.61,383.61,26229400
10/2/2014,383.99,385.5,372.95,375.07,375.07,21777700
10/3/2014,375.18,377.7,357.86,359.51,359.51,30901200
10/4/2014,359.89,364.49,325.89,328.87,328.87,47236500
10/5/2014,328.92,341.8,289.3,320.51,320.51,83308096
10/6/2014,320.39,345.13,302.56,330.08,330.08,79011800
10/7/2014,330.58,339.25,320.48,336.19,336.19,49199900
10/8/2014,336.12,354.36,327.19,352.94,352.94,54736300
10/9/2014,352.75,382.73,347.69,365.03,365.03,83641104
10/10/2014,364.69,375.07,352.96,361.56,361.56,43665700
10/11/2014,361.36,367.19,355.95,362.3,362.3,13345200
10/12/2014,362.61,379.43,356.14,378.55,378.55,17552800
10/13/2014,377.92,397.23,368.9,390.41,390.41,35221400
10/14/2014,391.69,411.7,391.32,400.87,400.87,38491500
10/15/2014,400.95,402.23,388.77,394.77,394.77,25267100
10/16/2014,394.52,398.81,373.07,382.56,382.56,26990000
10/17/2014,382.76,385.48,375.39,383.76,383.76,13600700
10/18/2014,383.98,395.16,378.97,391.44,391.44,11416800
10/19/2014,391.25,393.94,386.46,389.55,389.55,5914570
10/20/2014,389.23,390.08,378.25,382.85,382.85,16419000
10/21/2014,382.42,392.65,380.83,386.48,386.48,14188900
10/22/2014,386.12,388.58,382.25,383.16,383.16,11641300
10/23/2014,382.96,385.05,356.45,358.42,358.42,26456900
10/24/2014,358.59,364.35,353.3,358.35,358.35,15585700
10/25/2014,358.61,359.86,342.88,347.27,347.27,18127500
10/26/2014,347.49,359.22,343.93,354.7,354.7,11272500
10/27/2014,354.78,358.63,349.81,352.99,352.99,13033000
10/28/2014,353.21,359.98,352.68,357.62,357.62,7845880
10/29/2014,357.09,357.83,335.34,335.59,335.59,18192700
10/30/2014,335.71,350.91,335.07,345.3,345.3,30177900
10/31/2014,345.01,348.05,337.14,338.32,338.32,12545400
11/1/2014,338.65,340.53,321.05,325.75,325.75,16677200
11/2/2014,326.08,329.05,320.63,325.89,325.89,8603620
11/3/2014,325.57,334,325.48,327.55,327.55,12948500
11/4/2014,327.16,331.77,325.08,330.49,330.49,15655500
11/5/2014,330.68,343.37,330.68,339.49,339.49,19817200
11/6/2014,339.46,352.97,338.42,349.29,349.29,18797000
11/7/2014,349.82,352.73,341.78,342.42,342.42,16834200
11/8/2014,342.15,347.03,342.15,345.49,345.49,8535470
11/9/2014,345.38,363.63,344.26,363.26,363.26,24205600
11/10/2014,362.27,374.82,357.56,366.92,366.92,30450100
11/11/2014,365.86,371.31,363.73,367.7,367.7,15838900
11/12/2014,367.98,429.72,367.98,423.56,423.56,45783200
11/13/2014,427.27,457.09,401.12,420.73,420.73,58945000
11/14/2014,418.42,419.25,384.79,397.82,397.82,29589200
11/15/2014,399.65,405.53,371.01,376.13,376.13,15727500
11/16/2014,374.73,390.8,374.6,387.88,387.88,11905600
11/17/2014,388.35,410.2,377.5,387.41,387.41,41518800
11/18/2014,387.79,392.4,371.12,375.2,375.2,32222500
11/19/2014,373.9,386.48,373.9,380.55,380.55,18931800
11/20/2014,380.31,382.02,356.78,357.84,357.84,25233200
11/21/2014,357.88,357.88,344.11,350.85,350.85,29850100
11/22/2014,351.6,364.84,350.88,352.92,352.92,15273000
11/23/2014,353.17,370.85,353.17,367.57,367.57,15151600
11/24/2014,366.95,387.21,366.67,376.9,376.9,30930100
11/25/2014,376.89,394.7,374.78,375.35,375.35,25442200
11/26/2014,376.02,377.7,365.82,368.37,368.37,18601700
11/27/2014,370.5,373.99,368.28,369.67,369.67,8748030
11/28/2014,369.37,382.84,358.45,376.45,376.45,22946500
11/29/2014,376.15,387.6,372.14,375.49,375.49,15375600
11/30/2014,375.51,382.53,373.31,378.05,378.05,9194440
12/1/2014,378.25,383.66,376.67,379.24,379.24,11763000
12/2/2014,379.25,384.04,377.86,381.32,381.32,12364100
12/3/2014,381.72,383.03,374.35,375.01,375.01,13340100
